,Datetime,Tweet Id,Text,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes
85,2021-08-24 12:44:06+00:00,1430148915064676352,"How long does immune memory last after #mRNA vax?
Immunity vs. variants?
What happens when you “boost” w/ vaccine?

Our work on durability &amp; evolution of memory responses to SARS-CoV-2 vaccines: https://t.co/GA7dXlZHTv. Antibodies, memory B/T cells, &amp; more. Full thread below 💉👨‍🔬 https://t.co/EZ6JGOwOr4",1741,820,63,163
934,2021-06-15 12:51:56+00:00,1404783735485108227,"The vaccine rollout needs to be suspended for those under 30.  Myocarditis is a very serious condition that can lead to cardiac arrest 

Rolling out a new mRNA technology for a condition with a 99.97% survival rate in this age without long term safety data was a mistake https://t.co/hKKHgOymUc",1534,816,84,55
438,2021-07-23 19:29:01+00:00,1418654402114691077,"This Cancel Culture Punishment (America's CCP) has got to stop.  

You come after us, we come after you.  Rise up (peacefully) now but in force.  Pass it on.

And yes, the mRNA vaccines may pose grave unseen dangers.  We don't know and that's the point.

https://t.co/MUF8kCFZa7",1700,811,67,33
1130,2021-05-20 14:49:03+00:00,1395391123120480258,"พวกที่บอกว่า mRNA vaccine จะเปลี่ยนพันธุกรรมของร่างกายนี่ ถ้าเป็นที่อเมริกาจะถูกเรียกว่าพวกต่อต้านวัคซีน Antivaxxer 

https://t.co/bOMxdxhrFY",243,807,5,8
1089,2021-05-27 22:14:30+00:00,1398039940299063297,"The 12-15 year-olds mRNA vaccine randomized, placebo-controlled clinical trial is published @NEJM today [@BioNTech_Group/@Pfizer]
https://t.co/7GlgC9xdd0
—100% efficacy (95% CI 75,100)
—1.8 X higher levels of neutralizing antibodies than  16-25 yr olds
—very good safety profile https://t.co/hQzkpuA5Nu",1811,805,47,89
569,2021-07-10 06:34:19+00:00,1413748401116749825,"Reiner Fuellmich and the mRNA vaccine inventor discuss the Nuremberg trials 👇👇

Full interview (starts at 2:21:00)
https://t.co/0iqOxHyDRz

#Nuremberg2 #PfizerVaccine #Moderna #CrimesAgainstHumanity https://t.co/zzjiYFlSBd",1247,805,40,126
1319,2021-04-25 19:02:24+00:00,1386395182178848775,"5 million Americans - 8% - have now missed their scheduled 2nd shot of Pfizer/Moderna #COVID19 vaccines. “I’m very worried, because you need that second dose” say experts. 1 shot is only partial protection with mRNA vaccines. 

 https://t.co/hYN43cLzJT",1576,797,182,159
2313,2020-12-03 19:20:14+00:00,1334578208663097347,"""It is unknown whether COVID 19 mRNA vaccine BNT162b2 will have an impact on fertility""

From the governments own website. Published December 2nd at https://t.co/R6SJ07HND0 https://t.co/K23Hf0Th3e",1379,793,164,266
2436,2020-11-10 23:06:47+00:00,1326300299263406080,"Gee, I sure am glad that we are all just taking Pfizer's word that their experimental mRNA vaccine is super safe!

https://t.co/wcrpZstIyV",1952,789,110,119
466,2021-07-20 20:26:13+00:00,1417581633063079937,"NEW: The J&amp;J coronavirus vaccine is much less effective against Delta and Lambda variants than against the original virus, acc to a new study -- suggesting the 13 mil people who got it should get a second dose, ideally one of the mRNA vaccines.
https://t.co/ctxIQT1qvL",1273,786,178,257
382,2021-07-28 11:15:23+00:00,1420342116476203009,"""Dr. Robert Malone, Inventor of using ""RNA as a drug"" and core mRNA and DNA vaccine technologies."" 
Dr. Robert Malone provides us with an in depth discussion on his past of how he invented the mRNA and DNA technology.  
""The Intellectual People Podcast.""
https://t.co/rs3F6y2w4t",2229,785,60,42
184,2021-08-16 14:36:31+00:00,1427278101747179528,"Any “expert” who claims that mRNA vaccines “alter your DNA” is either pandering or isn’t very good at biology.

It’s literally called the…[checks notes]… Central Dogma of Molecular Biology.",4751,784,106,31
1129,2021-05-20 16:13:17+00:00,1395412319979458561,"It's hard to believe that, at this juncture, anyone can question the safety of mRNA vaccines. Now, after the large Phase 3 placebo-controlled trials of &gt;70,000 participants, 270 million doses have been given without unanticipated, serious side effects. That's very, very unusual. https://t.co/PlZHRAyzJc",2935,780,91,75
65,2021-08-25 07:24:24+00:00,1430430845333016581,"Vaccines are probably the single greatest contribution that Medicine has made to the improvement of human life.

I have proudly been fully vaccinating children and adults for 20yrs

I have never ever injected mRNA into a child or an adult

These ""vaccines"" are entirely different!",2377,780,153,35
1532,2021-04-08 04:03:33+00:00,1380008385618178049,"Australia is relying on the Astra Zeneca vaccine because it does not have the capacity to produce modern mRNA vaccines. Surely, a disastrous example of our failure invest in and  keep up with vital technological innovation.",3494,774,131,48
1446,2021-04-14 01:05:51+00:00,1382137993268396033,"เทคโนโลยีเก่าไม่ได้แปลว่าปลอดภัย เทคโนโลยีใหม่ไม่ได้แปลว่าอันตราย

mRNA vaccine มีการฉีดมากที่สุดในโลก แต่ไม่มี SAE มากกว่าตัวอื่น

ข้อมูลไม่โกหก คนต่างหากที่บิดเบือน อย่าหลงเชื่อเพียงเพราะคนพูดมีตำแหน่งใหญ่โต แต่จง show me the data #โควิด19 #โควิด",244,774,9,4
82,2021-08-24 15:08:25+00:00,1430185232313982980,"This guy THE INVENTOR of mRNA and RNA vaccines says DO NOT take these vaccines.

I’ll trust him over fraud Fauci, Pfizer, Moderna, the FDA, and Biden https://t.co/RUEKzUiJDI",1680,771,398,65
1952,2021-01-20 03:43:57+00:00,1351737200950521857,"AMAZING—The Pfizer / BioNTech mRNA #COVID19 vaccine’s RNA is 4284 characters long, so it would fit in a bunch of tweets. And just one 30 microgram dose holds 13 BILLION copies of it. Someone reverse engineered the source code—article is a stunning read. 
https://t.co/KJQ4u4u90s https://t.co/TOA0xXTXW1",2197,769,77,176
1707,2021-03-10 05:23:07+00:00,1369519162071121920,.@hotvickkrishna does an -IMMACULATE- job of simply and hilariously explaining how the mRNA vaccine works. https://t.co/2s1SYHD0AO,2246,766,30,89
1617,2021-03-25 03:59:27+00:00,1374933923524964357,"If I understand correctly, Stanford... has reverse-engineered and sequenced mRNA from these vaccines... by asking a pharmacist for used vials with a couple drops left... and they've posted them to GitHub... as a .docx.pdf???

What a world we live in. https://t.co/IqHE4z9rlb",2438,765,22,76
547,2021-07-12 17:53:33+00:00,1414644112150642693,@Les64008605 @DrHilaryJones I am concerned about the statement you made on TV that Covid vaccines are old technology and were used to treat SARS and MERS. This is incorrect and a retraction should be issued. mRNA vaccines have never been used before in humans and are still emergency use only.,1711,758,100,78
2383,2020-11-20 11:50:38+00:00,1329754019674419200,#COVID19 UPDATE: We will submit a request today to the @US_FDA for Emergency Use Authorization (EUA) of our mRNA vaccine candidate with @BioNTech_Group.,2615,749,137,396
951,2021-06-14 12:41:18+00:00,1404418671770886147,"Just published @Nature 
Prior covid induces long-lasting humoral immunity for at least 1 year. Adding an mRNA vaccine provides markedly increased neutralizing antibody and memory B cells against the variants
https://t.co/EOyXFhsHEe
@NussenzweigL @RockefellerUniv https://t.co/TmhMX9V5Yl",2265,749,40,122
2190,2020-12-17 18:28:59+00:00,1339638738066964480,"So you’ve broken down the mRNA instructions. You’ve destroyed asshole proteins. Everything from the vaccine is gone.

Except for those memory cells who remember that protein very well.",14427,745,24,13
387,2021-07-28 06:07:49+00:00,1420264713628229637,Jimmy Dore says he gets shamed for sharing his honest story of serious lingering side effects from the mRNA vaccine https://t.co/OetLYJERpu,1862,743,66,69
1459,2021-04-13 13:26:00+00:00,1381961872631533568,Only mRNA vaccines are left,3547,742,358,183
1311,2021-04-26 15:57:00+00:00,1386710914758594560,The Mexican government vaccination study confirms that #SputnikV is the safest among all vaccines used in Mexico with 7 times fewer adverse effects than the Pfizer mRNA vaccine. The Mexican data supports similar results published by the government of Hungary on April 25. https://t.co/ql9CZwp9r0,1898,741,57,86
1819,2021-02-17 00:13:05+00:00,1361830996111286278,"Basically, Mark Zuckerberg admits he agreed with Alex Jones on concerns about the mRNA COVID-19 vaccine in this new Project Veritas video, but later changed his mind. https://t.co/V7bpjB615W",1726,735,61,54
1564,2021-04-02 03:41:08+00:00,1377828419476537344,"CNN guest admits the game plan: lockdown is not for public health, it's about getting everyone injected with experimental mRNA and implementing 'vaccine passports'.
#StuffTheLockdiwn
#FightBackBetter https://t.co/zWcoKwUSRF",1309,732,47,35
627,2021-07-06 15:39:35+00:00,1412436069723877378,"Accompanied President @KagutaMuseveni in the laying of the foundation stone for the construction of the biological drugs and mRNA vaccine manufacturing facility in Matugga, Wakiso District, Uganda. https://t.co/Jof726GSp5",5779,731,575,50
202,2021-08-14 02:40:28+00:00,1426373125571325956,CDC recommended today that some people with weakened immune systems get a third dose of mRNA vaccine as part of their primary series to achieve better protection from Covid. This recommendation makes sense. 1/thread,3198,730,161,55
1011,2021-06-07 18:50:00+00:00,1401974740646961164,A new CDC study finds that mRNA #COVID19 vaccines reduce your risk of infection by 91%. Everyone 12 years and older is now eligible for COVID-19 vaccination. Get vaccinated as soon as you can. Learn more: https://t.co/zRC3OPahEd. https://t.co/gmEbGmYG81,1352,729,294,96
1331,2021-04-25 00:34:21+00:00,1386116333704601603,"2. ไทยไม่ได้ศึกษา efficacy ของ #Sinovac เลย การวัด anti-spike antibody ไม่ได้เท่ากับ efficacy ระดับที่วัดเทียบกับ convalescent plasma ก็ไม่ได้สูงเท่า mRNA vaccine ซึ่งการทดสอบพบว่าสูงกว่า &gt;10 เท่า https://t.co/veLmPcICCK https://t.co/FN8pqtWujP (2/3)
#โควิด #โควิด19 #วัคซีนโควิด",163,727,1,0
1072,2021-05-30 17:01:50+00:00,1399048416781611012,“You don’t know what they’re putting in the vaccine” no YOU don’t know. Tell me what mRNA is. What did you get in high school biology again?,4763,725,8,31
153,2021-08-18 13:00:29+00:00,1427978710028783622,"Moderna will begin human trials of an HIV vaccine which uses mRNA technology, the same technology which made their COVID-19 vaccine effective. The trials will end sometime in 2023.
https://t.co/MHuQzkGyxB",3477,720,34,117
2441,2020-11-10 03:01:47+00:00,1325997051134562305,"Reminder: the Pfizer vaccine uses mRNA technology which has never been tested or approved before. 

It tampers with your DNA.

75% of vaccine trial volunteers have experienced side effects.

Beware.",1909,718,183,190
580,2021-07-09 16:12:23+00:00,1413531488130326530,"Prof. Dr. Özlem Türeci
Scientist
Co-founder of Biontech
Co-inventor of Biontech mRNA Covid-19 vaccine
German with Turkish origin
First of her name
Mother of all vaccines &amp; Queen of Science. Wife to Prof. Dr. Uğur Şahin
Adı, sanı budur. Uğur Bey’in eşi olması tanımı değil, sıfatı. https://t.co/0rpoS5lhAE",14030,716,67,9
327,2021-08-02 17:54:36+00:00,1422254520696926211,"Most people (me included) aren’t capable of parsing mRNA vaccine literature, and so can only rely on authorities. Unfortunately, the authorities spent last year canceling our jobs, weddings and funerals while insisting that murderous riots were a public health necessity. https://t.co/bP8LHrDiO9",3968,716,74,44
1334,2021-04-24 17:07:18+00:00,1386003828286189568,"Pro tip.

If someone claims that an mRNA vaccine changes your DNA, ask them to draw the process diagram of how that happens.",5388,714,124,39
1238,2021-05-05 22:31:09+00:00,1390071595440300033,"2 doses of mRNA vaccine for 72% of all adults (=4.7M) in Israel w/ 95% B.1.1.7 strain circulating:
Infection reduced 95%
Asymptomatic infection reduced 92%
Severe illness, hospitalization, and death reduced 97%
Little influence of age
Just out @TheLancet https://t.co/VZs4yE472m https://t.co/pUXSG5kSgS",1719,713,30,80
1516,2021-04-09 04:53:43+00:00,1380383400612098051,Kati Kariko and the scientists that developed the mRNA vaccines are heroes of the world. Their work will save millions and millions of lives. https://t.co/pL7tHw0hcR,5122,710,67,13
365,2021-07-29 15:28:35+00:00,1420768223335698433,"The Pfizer vaccine is based on messenger ribonucleic acid (known by the acronym mRNA); Fauci lavished  praise on the vaccine last year.

Comes now @RWMaloneMD, the pro-vaccine specialist who invented many mRNA-based vaccines, who has some major concerns: 

https://t.co/m41OD7VMCu",612,702,36,54
1950,2021-01-20 12:24:41+00:00,1351868246077661186,This is how mRNA #COVID19 vaccines work ⬇️ https://t.co/9PRUm3WmWi,1634,699,188,67
584,2021-07-09 13:05:08+00:00,1413484364571324416,"3rd dose of mRNA vaccine? Yes but not necessarily for delta + not necessarily now. We don’t know durability of protection, and a 3rd dose might be warranted to jack up virus neutralizing antibodies needed to fend off variants: now emerging because we so grossly ignored the world",2921,698,95,48
1568,2021-04-01 13:14:40+00:00,1377610365085704196,"Just published  @NatureMedicine:
One dose of mRNA vaccine in people with prior covid  gets a robust antibody response, not augmented by 2nd dose
https://t.co/m491QulAAI
[And, as expected, prior covid led to more 1st dose side-effects than no prior covid, 38  vs 25%, respectively] https://t.co/v54l39MwjJ",1599,698,41,110
459,2021-07-21 14:45:31+00:00,1417858282685833222,Neutralizing antibody ที่เกิดจากการฉีด mRNA vaccine มีลักษณะ polyclonal และจับกับ RBD ของ COVID ได้ครอบคลุมกว่า convalescent plasma จากคนที่หายป่วยเสียอีก ดังนั้นเชื้อสายพันธุ์ใหม่ ๆ ในอนาคตที่ดื้อ จะดื้อวัคซีนน้อยกว่าคนที่เคยติดเชื้อ https://t.co/tvR0HUtmW5 https://t.co/0owSDZnhNP,351,698,3,3
1999,2021-01-15 14:45:49+00:00,1350091826028548101,"China calls for Norway and other countries to suspend the use of mRNA-based COVID-19 vaccines produced by companies such as Pfizer, due to safety concerns. 23 dead in Norway. 

https://t.co/rZvVF3vyjM",724,696,85,102
977,2021-06-12 03:27:41+00:00,1403554573072142337,"By now you've heard reports of myocarditis &amp; pericarditis in recipients of mRNA or Pfizer &amp; Moderna vaccines.

There’s a headline floating around about a *CDC emergency meeting*

I KNOW Y’ALL ARE GONNA BUY INTO CLICKBAIT HEADLINES so let’s just get right into this shall we 🧵1/n",1885,692,39,72
675,2021-07-02 18:20:02+00:00,1411026895580377090,"A CDC study shows mRNA #COVID19 vaccines reduce risk of infection by 91%. If you are vaccinated &amp; still get COVID-19, there are other benefits of vaccination, like fewer sick days &amp; reduced risk of symptoms like fever or chills. More: https://t.co/NGaYIFNppX. https://t.co/fVnJo90pky",1599,688,205,60
1201,2021-05-11 00:50:27+00:00,1391918592740966402,"Anti vaxers: you can shed mRNA from the vaccine and transmit it to others

Actual biologists: if I breathe in the wrong direction during this RNA extraction my experiment will be ruined",4347,685,22,87
955,2021-06-14 10:46:45+00:00,1404389843761774594,"Good news—Novavax protein-subunit vaccine phase 3 trial shown to to be 90.4% effective overall, 100% against moderate to severe disease. This is different type from mRNA and from AZ/J&amp;J adenovirus vaccines, and different from inactivated types. #COVID19 
https://t.co/ajoGhaOUu9",1595,681,49,74
2473,2020-09-21 09:32:58+00:00,1307976102439247873,"christmas day. dad hands you a present. it certainly *feels* like AstraZeneca's ChAdOx1 nCoV-19 vaccine. heart pounding, you unwrap it. out falls the Moderna mRNA-1273 injection. the blood drains from your face. ""just like you wanted!"", says dad. you nod, fighting back the tears.",5409,680,27,25
704,2021-06-30 21:00:51+00:00,1410342593582403588,"Just published @NEJM: @Novavax's protein-based vaccine trial in over 15,000 participants . The efficacy of 96% for non-Alpha variant, 86% vs Alpha, very good safety data, all akin to the excellent results of the mRNA vaccines https://t.co/faJ7qATHAx https://t.co/IbB6UxjY68",1793,680,44,97
1216,2021-05-08 15:49:43+00:00,1391057736834580482,"Pfizer is seeking fastest approval of a ‘vaccine’ in FDA history w/new mRNA technology. And placebo groups are already getting the vaccine, destroying long term comparative study of side effects. Even the herb ginkgo biloba received 6-yr, Phase 3 clinical trial w/placebo group. https://t.co/wOIKyrBNXG",1082,678,78,58
896,2021-06-18 13:53:26+00:00,1405886375707090948,"Although the Delta variant is especially dangerous, being fully vaccinated—particularly with mRNA vaccines—provides strong protection against it and other variants.",3092,673,136,45
873,2021-06-20 15:38:39+00:00,1406637629936865286,"Explosive! An agreement dated 19/12/19 between Fauci's NIAID, Moderna&amp;Ralph Baric(who collaborated with Wuhan Institute of Virology to develop more lethal Coronavirus to infect humans) transfers mRNA Coronavirus Vaccine Tech to Baric!Weeks before pandemic!
https://t.co/zvfBfZH83W",1491,672,91,64
1477,2021-04-12 02:01:02+00:00,1381427106878353408,"The gov refused to build publicly owned mRNA vaccine manufacturing because “it would take too long”.

It’d take 6-12 months.

A year on, there’s not enough vaccines, no rollout strategy, and no timeline for getting everyone safe.

What on earth has Morrison been doing?",2812,669,219,45
949,2021-06-14 14:47:10+00:00,1404450346265628672,"I'm very concerned about the delta variant. It's still not clear to me that it's more pathogenic, but it is more transmissible, including among people who are partially vaccinated.

This got me thinking about the J&amp;J vaccine, and how maybe it's time to think about mRNA boosters.",2628,669,148,165
601,2021-07-08 07:27:06+00:00,1413036907882156038,"Sinovac ทำให้เราหลายคนรอดมาถึง season รอบลึก แต่ในรอบลึก ๆ จำเป็นต้องใช้ vaccine platform อื่นมาช่วย 
แต่ก่อน mRNA vaccine จะมาในอีก 3-4 เดือนข้างหน้า เราจะอยู่กันอย่างไรให้ปลอดภัยได้มากที่สุดในช่วงเวลานี้  คิดว่าทุกคนมีคำตอบในใจแล้วค่ะ",635,668,18,27
2488,2020-08-19 20:49:27+00:00,1296187543667580930,"I will not be taking an experimental and rushed mRNA coronavirus vaccine. 
Neither will I be taking a flu vaccine - now manufactured in dog cells.",1995,667,118,58
405,2021-07-26 18:00:31+00:00,1419719294808645634,The mRNA vaccine is not new. It has been worked on for decades. It is safe and effective and offers the way out of the latest surge from the highly contagious delta variant. Get vaccinated.,4966,666,139,51
1169,2021-05-14 23:31:14+00:00,1393348206436753410,"We're reluctant to say it, but mRNA vaccines appear to be even better than other vaccines. More effective, especially against variants. No safety signals (other than treatable allergic reactions in ~1/200,000). ANY approved vaccine is vastly, VASTLY better than none.",3663,666,100,47
2122,2020-12-27 14:37:57+00:00,1343204476212006913,"หมอที่ได้รับวัคซีนจากโมเดอร์นนา (mRNA vaccine ) มีอาการแพ้ เขาฉีด EpiPen ™ ที่พกติดตัวตลอดเวลาเรื่องจากมีโรคภูมิแพ้เป็นโรคประจำตัว หมอคนนี้ได้รับยาแก้แพ้ และ steroid จนหายดี
*มีผู้ได้รับวัคซีนมีอาการแพ้คล้ายคุณหมอรายนี้ประมาณ 6 รายจากการฉีดวัคซีน 1 ล้านราย ทุกรายหายเป็นปกติดี https://t.co/TstCwLuO2z",214,665,3,1
2191,2020-12-17 18:27:34+00:00,1339638384587800577,"By the way, your body breaks down the mRNA instructions that you got with the vaccine pretty quickly too. That’s normal. You don’t need a bunch of instructions hanging around forever. Your body breaks those down and gets rid of them.",13347,663,37,12
1445,2021-04-14 02:40:23+00:00,1382161785592025088,"6 people out of 7 million who got the J&amp;J vaccine had blood clots and Fauci shut it down. Wondering if it’s because it’s not mRNA shot like the others ...  

Makes ya think.",3288,663,250,37
197,2021-08-14 23:47:36+00:00,1426692010165997568,This is the next outbreak we are seeing in all the kids being admitted to hospitals.  A winter Virus in Summer? And a vaccine is already in the making?? A mRNA vaccine?? https://t.co/aLwVRuXbZ3,1222,663,183,125
2116,2020-12-28 17:07:00+00:00,1343604372756959234,"I have been condemned as 'irresponsible' &amp; 'reckless' by 
@ShaunBaileyUK and others for saying I will not take an experimental mRNA Covid vaccine. What is reckless is to roll it out when high rates of severe adverse health effects have been observed. https://t.co/dOq79UhLqs",2660,662,378,99
144,2021-08-19 01:26:31+00:00,1428166454524981254,"Vaccine Myth: They developed it in under a year

Vaccine Fact: the mRNA vaccine is a result of over 30 years of research.",1645,660,9,19
2330,2020-12-02 08:19:36+00:00,1334049564769316865,"Let’s get our retaliation in first:
🔸Yes, it has been adequately tested
🔸No, mRNA vaccines don’t overwrite your DNA 
🔸No, Bill Gates hasn’t put a microchip in it
🔸No, #COVID19 is not a hoax https://t.co/lFOtuaqmdQ",3440,659,294,113
681,2021-07-02 01:06:27+00:00,1410766785243013121,"The @US_FDA's overdue full approval of mRNA vaccines is holding us back from getting millions of more people protected, at a time of urgent need, with the Delta variant on the rise. My guest essay @nytopinion https://t.co/VOUxXByyjM w/ thanks for editing @jopearl",2318,659,113,74
221,2021-08-12 06:17:10+00:00,1425702882469285891,"""It is extraordinarily naive to believe that a spike protein based mRNA vaccine delivered by IM injection can induce a comprehensive array of antibodies and exhibit adaptive capability to protect the host in a durable way.""",1972,659,101,44
1122,2021-05-22 10:05:14+00:00,1396044475366092800,"TWO DOSES NEEDED—New UK vaccine data finds 1-shot protection for symptomatic infection of #B117 variant is 51%, and just 33% versus #B16172 from India. However, after 2 doses—87% for #B117 &amp; 81% for #B16172. But mixed 3 vaccine types—unclear AZ vs mRNA. 🧵
https://t.co/Me70PyUZ6g https://t.co/30eN0Cvj6u",1174,659,51,76
1861,2021-02-09 19:56:28+00:00,1359229698669113344,"How many studies are needed before we accept that people with prior covid-19 have a robust immune Ab response to a single dose of mRNA vaccines, like the 2nd dose for those with no prior covid?
https://t.co/m4TbTaigwb
https://t.co/qwqvC6xmMn
https://t.co/eK2XqKJkvB https://t.co/C5Hobn8Oi5",2024,658,67,151
338,2021-08-01 10:50:24+00:00,1421785378483228676,"Unless you have travelled several years into the future, you can’t possibly know that mRNA vaccines carry no risks for unborn children.

Recommending these injections for pregnant women is stupid and irresponsible.",2605,655,105,23
2434,2020-11-11 13:35:23+00:00,1326518889044447234,Hey remember all the MSM takes that Pfizer was super altruistic and wasn't motivated by profit regarding its covid19 mRNA vaccine? https://t.co/QfKHYkZxYK,1708,654,46,56
14,2021-08-29 02:49:40+00:00,1431811260371247114,"The entire country could be covid free right now if:

1️⃣ Federal gov had proper quarantine facilities.
2️⃣ Federal gov had secured and distributed mRNA vaccine.
3️⃣ NSW gov had locked down hard and early.",2191,652,62,23
1982,2021-01-16 15:48:55+00:00,1350470095617753088,"My one-pager on the mRNA vaccines
https://t.co/Vbwg1hMDC1
@CellCellPress https://t.co/gw6Exwfzui",1958,651,45,53
812,2021-06-24 02:42:49+00:00,1407891935205814274,"米国では、10万人以上の妊婦が ＃新型コロナワクチン を接種しています。
mRNAワクチンが、胎児や出産、生殖器に悪影響を及ぼす報告はありません。 https://t.co/Ekvez5H1Qc",1297,646,57,37
557,2021-07-11 10:54:57+00:00,1414176378182795270,"Kepada yang mendapat vaccine dose pertama atau kedua, anda tidak digalakkan untuk melakukan senaman yang berat.

Ini bagi mengelakkan anda mendapat Kesan sampingan daripada mRNA vaksin

Sumber: kementerian kesihatan singapura.

https://t.co/gpzmvNrbpH",400,639,6,31
2105,2020-12-29 16:59:00+00:00,1343964751173480455,Here I describe a brief overview of how the Oxford/AstraZeneca viral vector vaccines against SARS-CoV-2 work. Please reference my other videos for mRNA vaccine technology. https://t.co/jgS3gsOkii,1775,637,96,116
1042,2021-06-03 22:47:34+00:00,1400584977012584451,"Just published @TheLancet 
Neutralizing antibody (nAbs) in response to B.1.617.2 (delta) after mRNA vaccination in 250 people (median age 42, healthy)
Immune-evasiveness is similar to B.1.351 (high)
2 doses of vaccine -&gt; high levels of nAbs 👍
https://t.co/rgC5NguzN7 https://t.co/nk5XZzDxNb",1545,634,63,76
1233,2021-05-06 03:24:15+00:00,1390145358303539200,"The lies about the development of a COVID vaccine are fascinating.

They pretend it was this incredible global team effort to spin up mRNA machines &amp; revolutionize medicine.

In reality, China published a gene sequence &amp; 1 day after Big Pharma claimed to make a vax in 3 hours.",1837,631,63,26
340,2021-08-01 07:23:29+00:00,1421733306391924738,"สํ โวหาเรน โสเจยยํ เวทิตพฺพํ
ความสะอาดของคนรู้ได้โดยวาจา

ยืนยันว่าไม่เคยอ้าง ไม่เคยเคลมครับ
ได้มาเป็นประโยชน์กับคนไทยคืออะไรที่ดีที่สุด
แต่จะตามดูให้เป็นประโยชน์กับด่านหน้า กับแพทย์พยาบาลบุคลากรสาธารณสุข อาสา และกลุ่มเสี่ยงอย่างทั่วถึงครับ
#mRNAvaccine",940,628,23,3
2144,2020-12-23 04:44:11+00:00,1341605497724674048,"People seem not to know that the COVID vaccine does *not* use a weakened virus like traditional vaccines 

It uses mRNA

https://t.co/APssnJyQjn https://t.co/7DY6xFf7dN https://t.co/zyUCHWbTxg",3300,624,325,66
2381,2020-11-20 22:57:47+00:00,1329921913490173953,"Does @MattHancock really think 100% of the UK population are going to all willingly have an mRNA vaccine which is being rushed out, for a virus which 25% to 50% are already immune, through about 15% catching it this year, with 99.5% recovery rate, just because he wants us to?",2357,619,312,125
1770,2021-02-24 16:54:07+00:00,1364619629939879936,"Simple video to explain the parts of the mRNA vaccine. 

(Thanks @DrAmalinaBakri) #COVID19 
https://t.co/ka3D8mz3W8",979,614,32,19
1826,2021-02-14 11:58:37+00:00,1360921383711215618,"Good mRNA vaccine news this morning! Ben Osborn, the UK head of Pfizer, said they do not expect to have to change their vaccine to handle SARS-CoV-2 variants B.1.1.17 and B.1.351 due to no drop in efficacy! Let’s talk about variants, vaccines, and why you shouldn’t panic. 🧵",1870,612,50,80
646,2021-07-05 12:28:01+00:00,1412025473522040833,"นายก รัฐมนตรี รัฐมนตรีช่วย เดินสายเปิดงาน ให้กำลังใจบุคลากรสาธารณสุข ดูหล่อแต่น่าสังเวช สิ่งที่พวกเขาต้องการไม่ใช่กำลังใจครับ เขาต้องการวัคซีนดีๆ mRNA vaccine ที่จะคุ้มครองพวกเขาที่ทำงานในแนวหน้าครับ  
#วัคซีน #ผนงรจตกม 
#ก็ผมไม่มีทางเลือก(วัคซีน)นี่ครับ",712,612,7,0
1076,2021-05-29 20:50:30+00:00,1398743574448066563,"More on less transmission, yet another incentive:  
""Our results suggest that mRNA-based vaccines do not only prevent #SARSCoV2 infections among vaccinated individuals but lead to a substantial reduction in infections among unvaccinated household members""
https://t.co/sIqoOLiH3b https://t.co/6rv2tojR2m",1920,611,40,76
2095,2020-12-30 23:00:01+00:00,1344417988443852800,"In the phase 3 mRNA-1273 trial participants received 2 doses of vaccine or placebo 28 days apart. The mRNA-1273 vaccine showed 94.1% efficacy in preventing #SARSCoV2, including severe disease. #IDTwitter",1449,609,25,108
511,2021-07-15 22:57:17+00:00,1415807713515171841,"The vaccine-induced immune response, a comparison of mRNA (Pfizer/BioNTech) with inactivated virus (CoronaVac), shows marked differences ""that could translate into substantial differences in vaccine effectiveness.""  Just out @LancetMicrobe 
https://t.co/fbj1dPF4f2 @weywenlim https://t.co/xKuSbS3Xdm",1312,608,57,115
425,2021-07-25 01:56:08+00:00,1419114213172207622,"Creator of mRNA Vaccine Technology Tells Tucker Carlson: ‘Government Not Being Transparent’ About Vaccine Risks

https://t.co/XmUzUY9DrB",747,607,20,22
605,2021-07-08 00:08:12+00:00,1412926453964963840,"พูดแต่เรื่อง mRNA vaccine เดี๋ยว AZ FC น้อยใจ มาดูข้อมูล AZ บ้าง (1/2)

Real world data จาก UK ของ Pfizer และ AZ vaccine พบว่าลดการติดเชื้อได้จริง
https://t.co/2ErVCKR6AI
https://t.co/CTzGFBjbyF

เมื่อ AZ vaccine สองเข็มก็ยัน Delta ไม่ค่อยอยู่
https://t.co/whUWgHJyzg https://t.co/XsKp1bW0mn",294,607,4,2
1389,2021-04-19 13:15:33+00:00,1384133568004169734,"Very rare cases of pericarditis, myocarditis are being seen after mRNA vaccines. We've seen a few here in San Diego, too. It's time to get a handle on frequency and determine the mechanism.
See @AllaqabanSuhail and @ihsan_rafie posts, threads
ECGs via Dr. Allaqaband https://t.co/4RRbFIPXZp",1386,606,102,146
2425,2020-11-16 01:09:42+00:00,1328143170773856258,"Hey friend, I can’t yell over the “SCIENCE” but I can gently whisper...  there are no existing medical protocols to reverse a systemic reaction of an mRNA vaccine. Anyone suggesting that you should take that risk is not your friend. 😘",1802,605,50,109
1711,2021-03-09 21:05:07+00:00,1369393835210575882,"Funny + accurate.

A reminder:
• The coronavirus vaccine can’t give you COVID-19.
• The mRNA in the vaccine doesn’t become a permanent part of your body.
• Pfizer, Moderna and J&amp;J all have highly effective and SAFE vaccines to prevent severe COVID-19 infection.

#ThisIsOurShot https://t.co/qXUzg20B2k",1499,605,26,57
